#,Date,Transact. No,Buyer,Seller,Qty,Rate,Amount
483,2021/02/07,2021020703020473,41,58,10,159.0,1590.0
485,2021/02/07,2021020703020238,19,58,200,160.0,32000.0
487,2021/02/07,2021020703020073,51,42,17,160.0,2720.0
489,2021/02/07,2021020703018619,28,40,100,160.0,16000.0
491,2021/02/07,2021020703018168,21,8,50,160.0,8000.0
493,2021/02/07,2021020703016307,48,3,100,160.0,16000.0
495,2021/02/07,2021020703013469,48,6,100,160.0,16000.0
497,2021/02/07,2021020703010107,6,38,170,162.0,27540.0
499,2021/02/07,2021020703006032,59,13,260,162.0,42120.0
401,2021/02/04,2021020403024085,13,25,2420,161.0,389620.0
403,2021/02/04,2021020403024081,51,25,600,161.0,96600.0
405,2021/02/04,2021020403023955,34,25,50,161.0,8050.0
407,2021/02/04,2021020403023608,34,25,220,162.0,35640.0
409,2021/02/04,2021020403023360,25,25,50,163.0,8150.0
411,2021/02/04,2021020403020061,33,25,10,164.0,1640.0
413,2021/02/04,2021020403018819,22,43,70,162.0,11340.0
415,2021/02/04,2021020403018051,6,38,30,162.0,4860.0
417,2021/02/04,2021020403018009,45,43,50,163.0,8150.0
419,2021/02/04,2021020403017793,20,25,200,164.0,32800.0
421,2021/02/04,2021020403015787,10,46,236,164.0,38704.0
423,2021/02/04,2021020403015423,21,48,50,163.0,8150.0
425,2021/02/04,2021020403014261,20,37,115,164.0,18860.0
427,2021/02/04,2021020403012721,40,58,5277,165.0,870705.0
429,2021/02/04,2021020403012282,40,29,93,165.0,15345.0
431,2021/02/04,2021020403012278,40,57,200,165.0,33000.0
433,2021/02/04,2021020403012274,40,29,1500,164.0,246000.0
435,2021/02/04,2021020403011289,34,45,30,163.0,4890.0
437,2021/02/04,2021020403010384,34,55,700,163.0,114100.0
439,2021/02/04,2021020403010039,42,39,15,163.0,2445.0
441,2021/02/04,2021020403009125,58,25,100,164.0,16400.0
443,2021/02/04,2021020403007499,22,42,60,164.0,9840.0
